index_type,index_name,index_qualification,index_value,city_id
meersens,MAQI,Modéré,41.15,1
meersens,MAQI,Correct,38.65,2
meersens,MAQI,Moyen,58.59,3
meersens,MAQI,Modéré,45.02,4
meersens,MAQI,Modéré,43.11,5
meersens,MAQI,Modéré,45.36,6
meersens,MAQI,Correct,37.14,7
meersens,MAQI,Correct,38.42,8
meersens,MAQI,Modéré,43.02,9
meersens,MAQI,Pauvre,77.9,10
meersens,MAQI,Modéré,43.87,11
meersens,MAQI,Médiocre,61.47,12
meersens,MAQI,Modéré,44.6,13
meersens,MAQI,Modéré,42.17,14
meersens,MAQI,Modéré,48.81,15
meersens,MAQI,Modéré,45.45,16
meersens,MAQI,Très pauvre,88.75,17
meersens,MAQI,Modéré,42.72,18
meersens,MAQI,Modéré,41.19,19
meersens,MAQI,Moyen,50.68,20
meersens,MAQI,Très pauvre,82.49,21
meersens,MAQI,Modéré,42.38,22
meersens,MAQI,Correct,36.38,126
meersens,MAQI,Modéré,41.19,24
meersens,MAQI,Correct,37.45,25
meersens,MAQI,Correct,30.98,26
meersens,MAQI,Pauvre,78.75,27
meersens,MAQI,Correct,39.05,28
meersens,MAQI,Très pauvre,82.49,29
meersens,MAQI,Modéré,48.6,30
meersens,MAQI,Très pauvre,80.23,31
meersens,MAQI,Modéré,42.27,32
meersens,MAQI,Pauvre,71.57,33
meersens,MAQI,Modéré,40.94,34
meersens,MAQI,Moyen,51.22,35
meersens,MAQI,Moyen,52.28,36
meersens,MAQI,Correct,30.85,37
meersens,MAQI,Pauvre,72.41,38
meersens,MAQI,Pauvre,75.27,39
meersens,MAQI,Très pauvre,87.81,40
meersens,MAQI,Modéré,47.84,41
meersens,MAQI,Médiocre,67.19,42
meersens,MAQI,Correct,31.95,43
meersens,MAQI,Très pauvre,81.24,44
meersens,MAQI,Très pauvre,81.72,45
meersens,MAQI,Modéré,42.88,46
meersens,MAQI,Moyen,51.55,47
meersens,MAQI,Modéré,44.92,48
meersens,MAQI,Pauvre,78.58,49
meersens,MAQI,Correct,31.99,50
meersens,MAQI,Médiocre,66.31,51
meersens,MAQI,Modéré,45.62,52
meersens,MAQI,Moyen,52.38,53
meersens,MAQI,Pauvre,74.39,54
meersens,MAQI,Modéré,41.76,55
meersens,MAQI,Pauvre,70.07,56
meersens,MAQI,Modéré,45.96,57
meersens,MAQI,Modéré,43.02,58
meersens,MAQI,Moyen,52.28,59
meersens,MAQI,Modéré,44.09,60
meersens,MAQI,Correct,33.2,61
meersens,MAQI,Correct,36.02,62
meersens,MAQI,Modéré,40.89,63
meersens,MAQI,Extrême,92.27,64
meersens,MAQI,Modéré,40.26,65
meersens,MAQI,Modéré,43.66,66
meersens,MAQI,Modéré,43.79,67
meersens,MAQI,Correct,37.62,68
meersens,MAQI,Moyen,52.77,69
meersens,MAQI,Modéré,40.28,70
meersens,MAQI,Modéré,48.14,71
meersens,MAQI,Moyen,55.73,72
meersens,MAQI,Correct,36.97,73
meersens,MAQI,Modéré,42.72,74
meersens,MAQI,Correct,39.96,75
meersens,MAQI,Modéré,42.21,76
meersens,MAQI,Moyen,51.6,77
meersens,MAQI,Moyen,54.85,78
meersens,MAQI,Médiocre,69.85,79
meersens,MAQI,Moyen,57.09,80
meersens,MAQI,Correct,34.29,81
meersens,MAQI,Modéré,45.23,82
meersens,MAQI,Modéré,45.45,83
meersens,MAQI,Moyen,56.12,84
meersens,MAQI,Modéré,46.04,85
meersens,MAQI,Moyen,59.13,86
meersens,MAQI,Moyen,57.28,87
meersens,MAQI,Modéré,44.68,88
meersens,MAQI,Très pauvre,82.49,89
meersens,MAQI,Correct,32.16,90
meersens,MAQI,Pauvre,74.02,91
meersens,MAQI,Très pauvre,82.66,92
meersens,MAQI,Moyen,50.07,93
meersens,MAQI,Pauvre,77.13,94
meersens,MAQI,Moyen,51.12,95
meersens,MAQI,Correct,38.18,96
meersens,MAQI,Très pauvre,83.91,97
meersens,MAQI,Correct,36.02,98
meersens,MAQI,Modéré,43.74,99
meersens,MAQI,Pauvre,73.23,100
meersens,MAQI,Correct,39.92,101
meersens,MAQI,Modéré,42.2,102
meersens,MAQI,Modéré,45.08,103
meersens,MAQI,Modéré,47.02,104
meersens,MAQI,Correct,33.2,105
meersens,MAQI,Modéré,42.38,106
meersens,MAQI,Correct,37.06,107
meersens,MAQI,Moyen,51.67,108
meersens,MAQI,Correct,39.74,109
meersens,MAQI,Modéré,40.89,110
meersens,MAQI,Correct,39.74,111
meersens,MAQI,Modéré,44.04,112
meersens,MAQI,Modéré,48.72,113
meersens,MAQI,Correct,35.71,114
meersens,MAQI,Modéré,44.3,115
meersens,MAQI,Moyen,53.45,116
meersens,MAQI,Modéré,46.34,117
meersens,MAQI,Moyen,52.38,118
meersens,MAQI,Moyen,50.88,119
meersens,MAQI,Modéré,42.17,120
meersens,MAQI,Pauvre,74.8,121
meersens,MAQI,Très pauvre,84.15,122
meersens,MAQI,Moyen,54.85,123
meersens,MAQI,Pauvre,75.73,124
meersens,MAQI,Modéré,40.34,125
meersens,MAQI,Modéré,41.4,126
meersens,MAQI,Correct,34.29,127
meersens,MAQI,Modéré,46.72,128
meersens,MAQI,Modéré,44.68,129
meersens,MAQI,Moyen,52.28,130
meersens,MAQI,Correct,37.82,131
meersens,MAQI,Bien,27.89,132
meersens,MAQI,Très pauvre,84.65,133
meersens,MAQI,Modéré,46.65,134
meersens,MAQI,Pauvre,72.09,135
meersens,MAQI,Moyen,50.34,136
meersens,MAQI,Correct,31.77,137
meersens,MAQI,Pauvre,71.43,138
meersens,MAQI,Modéré,40.23,139
meersens,MAQI,Modéré,48.04,140
meersens,MAQI,Modéré,42.38,141
meersens,MAQI,Correct,39.17,142
meersens,MAQI,Correct,37.52,143
meersens,MAQI,Modéré,49.32,144
meersens,MAQI,Moyen,56.12,145
meersens,MAQI,Correct,39.35,146
meersens,MAQI,Très pauvre,82.39,147
meersens,MAQI,Modéré,42.17,148
meersens,MAQI,Pauvre,71.28,149
meersens,MAQI,Correct,36.99,150
meersens,MAQI,Moyen,50.44,151
meersens,MAQI,Modéré,46.64,152
meersens,MAQI,Correct,37.45,153
meersens,MAQI,Correct,37.23,154
meersens,MAQI,Moyen,51.8,155
meersens,MAQI,Modéré,44.47,156
meersens,MAQI,Modéré,40.97,157
meersens,MAQI,Correct,33.9,158
meersens,MAQI,Modéré,49.2,159
meersens,MAQI,Moyen,54.85,160
meersens,MAQI,Modéré,47.44,161
meersens,MAQI,Modéré,45.32,162
meersens,MAQI,Moyen,50.44,163
meersens,MAQI,Pauvre,71.21,164
meersens,MAQI,Moyen,52.28,165
meersens,MAQI,Correct,39.57,166
meersens,MAQI,Correct,34.16,167
meersens,MAQI,Moyen,52.52,168
meersens,MAQI,Modéré,47.49,169
meersens,MAQI,Moyen,50.85,170
meersens,MAQI,Modéré,41.19,171
meersens,MAQI,Modéré,45.53,172
meersens,MAQI,Modéré,41.4,173
meersens,MAQI,Moyen,51.26,174
meersens,MAQI,Pauvre,73.37,175
meersens,MAQI,Pauvre,78.15,176
meersens,MAQI,Modéré,41.53,177
meersens,MAQI,Moyen,51.26,178
meersens,MAQI,Modéré,43.7,179
meersens,MAQI,Moyen,50.41,180
meersens,MAQI,Pauvre,72.21,181
meersens,MAQI,Très pauvre,80.6,182
meersens,MAQI,Modéré,41.4,183
meersens,MAQI,Médiocre,68.53,184
meersens,MAQI,Moyen,50.51,185
meersens,MAQI,Modéré,48.98,186
meersens,MAQI,Pauvre,73.85,187
meersens,MAQI,Moyen,58.4,188
meersens,MAQI,Médiocre,69.68,189
meersens,MAQI,Modéré,44.47,190
meersens,MAQI,Correct,37.06,191
meersens,MAQI,Modéré,45.32,192
meersens,MAQI,Pauvre,75.73,193
meersens,MAQI,Très pauvre,80.91,194
meersens,MAQI,Modéré,43.74,195
meersens,MAQI,Modéré,43.01,196
meersens,MAQI,Très pauvre,86.71,197
meersens,MAQI,Modéré,42.88,198
meersens,MAQI,Moyen,50.58,199
meersens,MAQI,Correct,38.18,200
meersens,MAQI,Correct,37.66,201
meersens,MAQI,Moyen,50.31,202
meersens,MAQI,Modéré,43.57,203
meersens,MAQI,Moyen,53.74,204
meersens,MAQI,Moyen,50.44,205
meersens,MAQI,Médiocre,63.71,206
meersens,MAQI,Médiocre,62.16,207
meersens,MAQI,Modéré,45.36,208
meersens,MAQI,Moyen,50.51,209
meersens,MAQI,Modéré,40.26,210
meersens,MAQI,Modéré,46.02,211
meersens,MAQI,Correct,37.84,212
meersens,MAQI,Moyen,50.88,213
meersens,MAQI,Correct,39.55,214
meersens,MAQI,Modéré,41.87,215
meersens,MAQI,Moyen,50.37,216
meersens,MAQI,Moyen,52.48,217
meersens,MAQI,Correct,32.99,218
meersens,MAQI,Moyen,51.05,219
meersens,MAQI,Modéré,46.44,220
meersens,MAQI,Correct,35.71,221
meersens,MAQI,Moyen,50.37,222
meersens,MAQI,Très pauvre,82.65,223
meersens,MAQI,Correct,32.33,224
meersens,MAQI,Correct,33.38,225
meersens,MAQI,Extrême,90.7,226
meersens,MAQI,Correct,33.23,227
meersens,MAQI,Moyen,57.33,228
meersens,MAQI,Correct,39.48,229
meersens,MAQI,Modéré,46.38,230
meersens,MAQI,Moyen,50.37,231
meersens,MAQI,Très pauvre,83.53,232
meersens,MAQI,Correct,38.35,233
meersens,MAQI,Correct,37.06,234
meersens,MAQI,Correct,33.68,235
meersens,MAQI,Médiocre,69.11,236
meersens,MAQI,Correct,34.44,237
meersens,MAQI,Correct,34.68,238
meersens,MAQI,Modéré,43.74,239
meersens,MAQI,Modéré,43.41,240
meersens,MAQI,Correct,37.62,241
meersens,MAQI,Moyen,51.12,242
meersens,MAQI,Correct,39.55,243
meersens,MAQI,Modéré,46.48,244
meersens,MAQI,Moyen,50.97,245
meersens,MAQI,Pauvre,73.36,246
meersens,MAQI,Correct,39.55,247
meersens,MAQI,Correct,35.94,248
meersens,MAQI,Modéré,40.85,249
meersens,MAQI,Pauvre,77.08,250
meersens,MAQI,Moyen,51.97,251
meersens,MAQI,Médiocre,69.94,252
meersens,MAQI,Modéré,42.17,253
