shortcode,name,unit,value,confidence,index_qualification,index_value,total_value,city_id
CO,Monoxyde de carbone,µg/m³,184.6,5,Parfait,0.45,292.5,1
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,292.5,1
O3,Ozone,µg/m³,79.2,5,Modéré,41.15,292.5,1
PM10,Particules fines 10,µg/m³,15.2,5,Correct,30.83,292.5,1
PM2.5,Particules fines 2.5,µg/m³,6.1,5,Correct,33.62,292.5,1
SO2,Dioxyde de soufre,µg/m³,7.4,5,Très bien,12.5,292.5,1
CO,Monoxyde de carbone,µg/m³,185.6,5,Parfait,0.45,275.9,2
NO2,Dioxyde d'azote ,µg/m³,2.2,5,Parfait,7.59,275.9,2
O3,Ozone,µg/m³,51.5,5,Bien,29.13,275.9,2
PM10,Particules fines 10,µg/m³,25.6,5,Correct,38.65,275.9,2
PM2.5,Particules fines 2.5,µg/m³,6.5,5,Correct,34.47,275.9,2
SO2,Dioxyde de soufre,µg/m³,4.5,5,Parfait,7.63,275.9,2
CO,Monoxyde de carbone,µg/m³,132.3,5,Parfait,0.32,240.0,3
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,240.0,3
O3,Ozone,µg/m³,21.8,5,Très bien,14.2,240.0,3
PM10,Particules fines 10,µg/m³,62.7,5,Moyen,58.59,240.0,3
PM2.5,Particules fines 2.5,µg/m³,21.7,5,Moyen,52.28,240.0,3
SO2,Dioxyde de soufre,µg/m³,1.5,5,Parfait,2.54,240.0,3
CO,Monoxyde de carbone,µg/m³,201.0,5,Parfait,0.49,334.9,4
NO2,Dioxyde d'azote ,µg/m³,5.5,5,Très bien,18.67,334.9,4
O3,Ozone,µg/m³,88.3,5,Modéré,45.02,334.9,4
PM10,Particules fines 10,µg/m³,23.6,5,Correct,37.14,334.9,4
PM2.5,Particules fines 2.5,µg/m³,11.2,5,Modéré,43.56,334.9,4
SO2,Dioxyde de soufre,µg/m³,5.3,5,Parfait,8.98,334.9,4
CO,Monoxyde de carbone,µg/m³,183.0,5,Parfait,0.44,298.0,5
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,298.0,5
O3,Ozone,µg/m³,83.8,5,Modéré,43.11,298.0,5
PM10,Particules fines 10,µg/m³,17.7,5,Correct,32.71,298.0,5
PM2.5,Particules fines 2.5,µg/m³,8.3,5,Correct,38.3,298.0,5
SO2,Dioxyde de soufre,µg/m³,5.2,5,Parfait,8.81,298.0,5
CO,Monoxyde de carbone,µg/m³,183.2,5,Parfait,0.44,304.8,6
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,304.8,6
O3,Ozone,µg/m³,89.1,5,Modéré,45.36,304.8,6
PM10,Particules fines 10,µg/m³,18.6,5,Correct,33.38,304.8,6
PM2.5,Particules fines 2.5,µg/m³,8.7,5,Correct,39.15,304.8,6
SO2,Dioxyde de soufre,µg/m³,5.2,5,Parfait,8.81,304.8,6
CO,Monoxyde de carbone,µg/m³,183.9,5,Parfait,0.45,272.2,7
NO2,Dioxyde d'azote ,µg/m³,3.6,5,Très bien,12.33,272.2,7
O3,Ozone,µg/m³,51.2,5,Bien,28.99,272.2,7
PM10,Particules fines 10,µg/m³,23.6,5,Correct,37.14,272.2,7
PM2.5,Particules fines 2.5,µg/m³,6.1,5,Correct,33.62,272.2,7
SO2,Dioxyde de soufre,µg/m³,3.8,5,Parfait,6.44,272.2,7
CO,Monoxyde de carbone,µg/m³,168.2,5,Parfait,0.41,254.5,8
NO2,Dioxyde d'azote ,µg/m³,3.5,5,Très bien,12.0,254.5,8
O3,Ozone,µg/m³,47.8,5,Bien,27.43,254.5,8
PM10,Particules fines 10,µg/m³,25.3,5,Correct,38.42,254.5,8
PM2.5,Particules fines 2.5,µg/m³,7.2,5,Correct,35.96,254.5,8
SO2,Dioxyde de soufre,µg/m³,2.5,5,Parfait,4.24,254.5,8
CO,Monoxyde de carbone,µg/m³,177.0,5,Parfait,0.43,284.7,9
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,284.7,9
O3,Ozone,µg/m³,83.6,5,Modéré,43.02,284.7,9
PM10,Particules fines 10,µg/m³,15.2,5,Correct,30.83,284.7,9
PM2.5,Particules fines 2.5,µg/m³,6.2,5,Correct,33.83,284.7,9
SO2,Dioxyde de soufre,µg/m³,2.7,5,Parfait,4.58,284.7,9
CO,Monoxyde de carbone,µg/m³,180.8,5,Parfait,0.44,478.1,10
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,478.1,10
O3,Ozone,µg/m³,51.2,5,Bien,28.99,478.1,10
PM10,Particules fines 10,µg/m³,195.8,5,Pauvre,77.9,478.1,10
PM2.5,Particules fines 2.5,µg/m³,46.8,5,Médiocre,60.75,478.1,10
SO2,Dioxyde de soufre,µg/m³,3.5,5,Parfait,5.93,478.1,10
CO,Monoxyde de carbone,µg/m³,211.7,5,Parfait,0.51,325.7,11
NO2,Dioxyde d'azote ,µg/m³,0.8,5,Parfait,2.76,325.7,11
O3,Ozone,µg/m³,85.6,5,Modéré,43.87,325.7,11
PM10,Particules fines 10,µg/m³,14.9,5,Correct,30.6,325.7,11
PM2.5,Particules fines 2.5,µg/m³,7.7,5,Correct,37.02,325.7,11
SO2,Dioxyde de soufre,µg/m³,5.0,5,Parfait,8.47,325.7,11
CO,Monoxyde de carbone,µg/m³,156.6,5,Parfait,0.38,308.9,12
NO2,Dioxyde d'azote ,µg/m³,0.0,5,Parfait,0.0,308.9,12
O3,Ozone,µg/m³,67.2,5,Correct,35.97,308.9,12
PM10,Particules fines 10,µg/m³,72.4,5,Médiocre,61.47,308.9,12
PM2.5,Particules fines 2.5,µg/m³,11.2,5,Modéré,43.56,308.9,12
SO2,Dioxyde de soufre,µg/m³,1.5,5,Parfait,2.54,308.9,12
